Temperature,Humidity,Wet_Bulb,Cluster
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.4,78.0,24.34,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,79.0,24.59,2
27.5,79.0,24.59,2
27.5,79.0,24.59,2
27.5,79.0,24.59,2
27.5,79.0,24.59,2
27.5,79.0,24.59,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.4,78.0,24.34,2
27.4,78.0,24.34,2
27.5,77.0,24.3,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,78.0,24.44,2
27.5,77.0,24.3,2
27.5,77.0,24.3,2
27.5,77.0,24.3,2
27.5,77.0,24.3,2
27.5,77.0,24.3,2
27.5,78.0,24.44,2
27.5,77.0,24.3,2
27.5,77.0,24.3,2
27.5,77.0,24.3,2
27.6,77.0,24.39,2
27.5,77.0,24.3,2
27.5,77.0,24.3,2
27.5,78.0,24.44,2
27.6,78.0,24.54,2
27.6,78.0,24.54,2
27.6,78.0,24.54,2
27.7,78.0,24.63,2
27.6,78.0,24.54,2
27.6,79.0,24.68,2
27.5,79.0,24.59,2
27.5,79.0,24.59,2
27.5,80.0,24.73,2
27.5,80.0,24.73,2
27.5,80.0,24.73,2
27.5,80.0,24.73,2
27.5,80.0,24.73,2
27.5,80.0,24.73,2
27.5,80.0,24.73,2
27.5,80.0,24.73,2
27.6,80.0,24.83,2
27.7,80.0,24.92,2
27.6,80.0,24.83,2
27.6,80.0,24.83,2
27.6,80.0,24.83,2
27.5,80.0,24.73,2
27.6,80.0,24.83,2
27.7,80.0,24.92,2
27.6,80.0,24.83,2
27.6,80.0,24.83,2
27.6,80.0,24.83,2
27.6,80.0,24.83,2
27.6,80.0,24.83,2
27.6,80.0,24.83,2
27.6,80.0,24.83,2
27.6,80.0,24.83,2
27.6,80.0,24.83,2
27.6,80.0,24.83,2
27.6,80.0,24.83,2
27.5,80.0,24.73,2
27.5,80.0,24.73,2
27.5,80.0,24.73,2
27.5,80.0,24.73,2
27.5,81.0,24.87,2
27.5,80.0,24.73,2
27.5,81.0,24.87,2
27.5,81.0,24.87,2
27.4,81.0,24.78,2
27.4,81.0,24.78,2
27.4,82.0,24.92,2
27.4,82.0,24.92,2
27.4,81.0,24.78,2
27.5,81.0,24.87,2
27.5,81.0,24.87,2
27.4,82.0,24.92,2
27.5,82.0,25.02,2
27.5,82.0,25.02,2
27.4,82.0,24.92,2
27.4,82.0,24.92,2
27.5,82.0,25.02,2
27.4,82.0,24.92,2
27.5,82.0,25.02,2
27.5,82.0,25.02,2
27.5,82.0,25.02,2
27.5,82.0,25.02,2
27.6,82.0,25.11,2
27.6,82.0,25.11,2
27.6,82.0,25.11,2
27.6,82.0,25.11,2
27.6,82.0,25.11,2
27.6,83.0,25.26,2
27.6,82.0,25.11,2
27.6,82.0,25.11,2
27.6,83.0,25.26,2
27.6,82.0,25.11,2
27.6,82.0,25.11,2
27.6,83.0,25.26,2
27.6,82.0,25.11,2
27.7,82.0,25.21,2
27.7,83.0,25.35,2
27.7,82.0,25.21,2
27.7,82.0,25.21,2
27.7,82.0,25.21,2
27.7,82.0,25.21,2
27.7,82.0,25.21,2
27.7,82.0,25.21,2
27.7,82.0,25.21,2
27.7,82.0,25.21,2
27.7,82.0,25.21,2
27.7,82.0,25.21,2
27.7,82.0,25.21,2
27.7,82.0,25.21,2
27.7,82.0,25.21,2
27.7,83.0,25.35,2
27.7,83.0,25.35,2
27.7,83.0,25.35,2
27.7,82.0,25.21,2
27.7,82.0,25.21,2
27.6,83.0,25.26,2
27.7,83.0,25.35,2
27.6,83.0,25.26,2
27.6,83.0,25.26,2
27.7,83.0,25.35,2
27.7,83.0,25.35,2
27.7,83.0,25.35,2
27.7,82.0,25.21,2
27.8,82.0,25.31,2
27.8,82.0,25.31,2
27.8,82.0,25.31,2
27.8,82.0,25.31,2
27.8,82.0,25.31,2
27.8,82.0,25.31,2
27.7,82.0,25.21,2
27.7,82.0,25.21,2
27.7,82.0,25.21,2
27.8,82.0,25.31,2
27.8,82.0,25.31,2
27.7,82.0,25.21,2
27.8,82.0,25.31,2
27.8,83.0,25.45,2
27.8,83.0,25.45,2
27.8,83.0,25.45,2
27.8,82.0,25.31,2
27.7,83.0,25.35,2
27.8,83.0,25.45,2
27.8,83.0,25.45,2
27.8,83.0,25.45,2
27.8,83.0,25.45,2
27.8,83.0,25.45,2
27.8,83.0,25.45,2
27.8,83.0,25.45,2
27.8,83.0,25.45,2
27.9,83.0,25.55,2
27.9,83.0,25.55,2
27.9,82.0,25.4,2
27.8,83.0,25.45,2
27.8,82.0,25.31,2
27.8,83.0,25.45,2
27.8,83.0,25.45,2
27.8,83.0,25.45,2
27.8,83.0,25.45,2
27.8,82.0,25.31,2
27.8,82.0,25.31,2
27.8,82.0,25.31,2
27.8,82.0,25.31,2
27.8,82.0,25.31,2
27.9,82.0,25.4,2
27.9,82.0,25.4,2
27.9,82.0,25.4,2
27.9,82.0,25.4,2
27.9,82.0,25.4,2
27.9,81.0,25.26,2
27.9,82.0,25.4,2
27.9,82.0,25.4,2
27.9,81.0,25.26,2
